pid,X,Y,Z,Type,Comment,Digitised_by
8,3284.846732,2708.237066,584.3459415,Path,,GO
8,3270.288522,2709.367069,584.5804191,Path,,GO
8,3255.353511,2711.214928,583.5269896,Path,,GO
8,3240.191722,2713.290639,581.5616056,Path,,GO
8,3224.95318,2715.104198,579.0602198,Path,,GO
8,3209.787908,2716.165603,576.3987847,Path,,GO
8,3194.84593,2715.98485,573.953253,Path,,GO
8,3180.27727,2714.071935,572.0995774,Path,,GO
8,3166.231951,2709.936856,571.2137105,Path,,GO
8,3150.582734,2701.097134,573.2582647,Path,,GO
8,3136.441319,2690.538134,577.2265468,Path,,GO
8,3128.149321,2684.686117,579.0906845,Path,,GO
8,3119.678007,2679.029928,580.5851157,Path,,GO
8,3111.098645,2673.47609,581.845021,Path,,GO
8,3102.482501,2667.93113,583.0055809,Path,,GO
8,3086.173579,2657.55822,584.9782288,Path,,GO
8,3069.683653,2647.239096,586.5207686,Path,,GO
8,3053.188766,2636.804263,587.5781497,Path,,GO
8,3036.864961,2626.084223,588.0953214,Path,,GO
8,3020.88828,2614.909482,588.0172334,Path,,GO
8,3005.434767,2603.110543,587.288835,Path,,GO
8,2990.680464,2590.517909,585.8550757,Path,,GO
8,2976.801415,2576.962086,583.660905,Path,,GO
8,2967.729442,2567.04375,581.7204301,Path,,GO
8,2958.968566,2556.650965,579.5010033,Path,,GO
8,2950.644289,2545.805586,577.0668107,Path,,GO
8,2942.882115,2534.529472,574.4820382,Path,,GO
8,2935.807547,2522.844477,571.8108718,Path,,GO
8,2929.546087,2510.772458,569.1174976,Path,,GO
8,2924.223239,2498.335272,566.4661015,Path,,GO
8,2919.964506,2485.554776,563.9208695,Path,,GO
8,2917.478826,2475.606028,562.1239896,Path,,GO
8,2915.5524,2465.509648,560.4727151,Path,,GO
8,2914.05941,2455.304844,558.9291657,Path,,GO
8,2912.874042,2445.030827,557.4554611,Path,,GO
8,2911.870479,2434.726804,556.013721,Path,,GO
8,2910.922907,2424.431984,554.566065,Path,,GO
8,2909.90551,2414.185575,553.0746127,Path,,GO
8,2908.692471,2404.026787,551.501484,Path,,GO
8,2905.11324,2387.83004,548.1562199,Path,,GO
8,2900.330232,2370.780248,544.0447986,Path,,GO
8,2897.028215,2353.537149,540.5421144,Path,,GO
8,2897.891955,2336.76048,539.0230617,Path,,GO
8,2903.815753,2321.195385,540.0105371,Path,,GO
8,2912.720138,2306.78081,542.478906,Path,,GO
8,2922.78524,2293.154043,545.4810554,Path,,GO
8,2932.191191,2279.95237,548.0698719,Path,,GO
8,2942.441914,2264.04156,550.2873903,Path,,GO
8,2952.701468,2248.273356,551.9483189,Path,,GO
8,2963.148986,2232.737133,553.1085885,Path,,GO
8,2973.963603,2217.522268,553.8241298,Path,,GO
8,2985.324452,2202.718139,554.1508734,Path,,GO
8,2997.410669,2188.414122,554.1447502,Path,,GO
8,3010.401386,2174.699593,553.8616907,Path,,GO
8,3024.475739,2161.66393,553.3576258,Path,,GO
